Doc Id,Offer File,Offer Id,Store File,Store Brand Name,Store Name,Store_Address,Area,City,Store Longitude,Store Latitude
807f6c42fe0da549b8ac8243db6eb258,baazar-kolkata-store.page,kolkata.dcr,baazar-kolkata-store-list.pdf,Bazaar Kolkata,,"Netaji Square, Arambagh, Ward No. 5, Hooghly",Arambagh,Kolkata,,
807f6c42fe0da549b8ac8243db6eb258,baazar-kolkata-store.page,kolkata.dcr,baazar-kolkata-store-list.pdf,Bazaar Kolkata,,"11, G.T. Road, Asansol",Asansol,Kolkata,,
807f6c42fe0da549b8ac8243db6eb258,baazar-kolkata-store.page,kolkata.dcr,baazar-kolkata-store-list.pdf,Bazaar Kolkata,,"32/2, K.B. Basu Road, Barasat, Kolkata,North 24 Parganas. Kolkata",Barasat,Kolkata,,
807f6c42fe0da549b8ac8243db6eb258,baazar-kolkata-store.page,kolkata.dcr,baazar-kolkata-store-list.pdf,Bazaar Kolkata,,"Sanghamitra Complex, 44 Kulpi Road, Kachari Bazar (Padmapukur) Baruipur, Kolkata",Baruipur,Kolkata,,
807f6c42fe0da549b8ac8243db6eb258,baazar-kolkata-store.page,kolkata.dcr,baazar-kolkata-store-list.pdf,Bazaar Kolkata,,"272/109/B, Basirhat, Itianda Road, Natun Bazar,Kolkata",Basirhat,Kolkata,,
807f6c42fe0da549b8ac8243db6eb258,baazar-kolkata-store.page,kolkata.dcr,baazar-kolkata-store-list.pdf,Bazaar Kolkata,,"4, B.M. Banerjee Road, Belgharia, Kolkata",Belgharia,Kolkata,,
807f6c42fe0da549b8ac8243db6eb258,baazar-kolkata-store.page,kolkata.dcr,baazar-kolkata-store-list.pdf,Bazaar Kolkata,,"111, B.B. Sen Road , Ward - 13 , P.O. - Khagra , Berhampur , Dits.- Mursidabad, Kolkata",Berhampur,Kolkata,,
807f6c42fe0da549b8ac8243db6eb258,baazar-kolkata-store.page,kolkata.dcr,baazar-kolkata-store-list.pdf,Bazaar Kolkata,,"35,Jessore Road |Gandhi Pally|Holding No.160/B,| Ward No.14|Bongaon",Bongaon,Kolkata,,
807f6c42fe0da549b8ac8243db6eb258,baazar-kolkata-store.page,kolkata.dcr,baazar-kolkata-store-list.pdf,Bazaar Kolkata,,"Old Sdo Building , P.O + P.S. - Canning Town , Dist. - 24 Parganas ( South ), Kolkata",Canning,Kolkata,,
807f6c42fe0da549b8ac8243db6eb258,baazar-kolkata-store.page,kolkata.dcr,baazar-kolkata-store-list.pdf,Bazaar Kolkata,,"Kumarpur Post Office, Contai, Medinipur, Kolkata",Contai,Kolkata,,
